_Date,Currently_Hospitalised_Excluding_Post-Recovery,Cumulative_Hospitalized_Excluding_Post-Recovery,Currently_in_ICU_Excluding_Post-Recovery,Cumulative_in_ICU_Excluding_Post-Recovery,OBJECTID
2020/06/27 00:00:00,1,241,1,58,138
2020/06/28 00:00:00,1,241,1,58,139
2020/06/29 00:00:00,3,243,1,58,140
2020/06/30 00:00:00,3,243,1,58,141
2020/07/01 00:00:00,3,243,2,59,142
2020/07/02 00:00:00,3,243,1,59,143
2020/07/03 00:00:00,3,243,1,59,144
2020/07/04 00:00:00,3,243,1,59,145
2020/07/05 00:00:00,2,243,1,59,146
2020/07/06 00:00:00,2,243,1,59,147
2020/07/07 00:00:00,1,243,1,59,148
2020/07/08 00:00:00,1,243,1,59,149
2020/07/09 00:00:00,2,244,,59,150
2020/07/10 00:00:00,2,244,,59,151
2020/07/11 00:00:00,2,244,1,59,152
2020/07/12 00:00:00,3,245,1,59,153
2020/07/13 00:00:00,3,245,,59,154
2020/07/14 00:00:00,3,245,,59,155
