jurisdiction,schools_universities,travel_restrictions,public_events,sport,lockdown,social_distancing_encouraged,self_isolating_if_ill
BC,2020-03-17,2020-03-12,2020-03-12,2020-03-12,2020-03-18,2020-03-26,2020-02-25
AB,2020-03-15,2020-03-12,2020-03-25,2020-03-25,2020-03-27,2020-03-28,2020-03-25
SK,2020-03-20,2020-03-18,2020-03-26,2020-03-19,2020-03-26,2020-03-20,2020-03-19
MB,2020-03-23,2020-03-23,2020-03-30,2020-03-20,2020-03-20,2020-03-12,2020-03-12
ON,2020-03-12,2020-03-13,2020-03-16,2020-03-16,2020-03-17,2020-03-16,2020-03-16
QC,2020-03-22,2020-03-19,2020-03-24,2020-03-13,2020-03-13,2020-03-13,2020-03-13
NB,2020-03-19,2020-03-14,2020-03-19,2020-03-19,2020-03-19,2020-03-31,2020-03-19
NL,2020-03-16,2020-03-14,2020-03-30,2020-03-23,2020-03-23,2020-03-29,2020-03-30
NS,2020-03-15,2020-03-23,2020-03-22,2020-03-17,2020-03-22,2020-03-13,2020-03-13
PE,2020-03-17,2020-03-13,2020-03-31,2020-03-16,2020-03-16,2020-03-13,2020-03-09
YK,2020-03-18,2020-03-22,2020-03-22,2020-03-16,2020-03-18,2020-03-22,2020-03-16
NT,2020-03-16,2020-03-14,2020-03-22,2020-03-22,2020-03-18,2020-03-31,2020-03-22
NV,2020-03-17,2020-03-13,2020-03-23,2020-03-23,2020-03-23,2020-03-25,2020-03-31
