,fit
86,9.51461132103759E-14
87,6.47260023356466E-14
88,4.41868763800812E-14
89,3.00870439673417E-14
90,2.04281036531029E-14
91,1.38777878078145E-14
92,9.54791801177635E-15
93,6.43929354282591E-15
94,4.32986979603811E-15
95,2.99760216648792E-15
96,1.99840144432528E-15
97,1.4432899320127E-15
98,8.88178419700125E-16
99,6.66133814775094E-16
100,4.44089209850063E-16
101,2.96059473233375E-16
102,1.97372982155584E-16
103,1.31581988103722E-16
104,8.77213254024816E-17
105,5.84808836016544E-17
106,3.89872557344362E-17
107,2.59915038229575E-17
108,1.7327669215305E-17
109,1.155177947687E-17
110,7.70118631791333E-18
111,5.13412421194222E-18
112,3.42274947462815E-18
113,2.28183298308543E-18
114,1.52122198872362E-18
115,1.01414799248241E-18
116,6.76098661654942E-19
117,4.50732441103295E-19
118,3.00488294068863E-19
119,2.00325529379242E-19
120,1.33550352919495E-19
121,8.90335686129965E-20
122,5.93557124086643E-20
123,3.95704749391096E-20
124,2.6380316626073E-20
125,1.75868777507154E-20
126,1.17245851671436E-20
127,7.81639011142905E-21
128,5.2109267409527E-21
129,3.47395116063513E-21
130,2.31596744042342E-21
131,1.54397829361561E-21
132,1.02931886241041E-21
133,6.86212574940273E-22
134,4.57475049960182E-22
135,3.04983366640121E-22
136,2.03322244426747E-22
137,1.35548162951165E-22
138,9.03654419674433E-23
139,6.02436279782955E-23
140,4.0162418652197E-23
141,2.67749457681313E-23
142,1.78499638454209E-23
143,1.18999758969473E-23
144,7.93331726463151E-24
145,5.28887817642101E-24
146,3.52591878428067E-24
147,2.35061252285378E-24
148,1.56707501523585E-24
149,1.0447166768239E-24
150,6.96477784549268E-25
151,4.64318523032845E-25
152,3.09545682021897E-25
153,2.06363788014598E-25
154,1.37575858676399E-25
155,9.17172391175991E-26
156,6.11448260783994E-26
157,4.07632173855996E-26
158,2.71754782570664E-26
159,1.81169855047109E-26
160,1.20779903364739E-26
161,8.0519935576493E-27
162,5.36799570509953E-27
163,3.57866380339969E-27
164,2.38577586893312E-27
165,1.59051724595542E-27
166,1.06034483063694E-27
167,7.06896553757963E-28
168,4.71264369171975E-28
169,3.1417624611465E-28
170,2.094508307431E-28
171,1.39633887162067E-28
172,9.30892581080444E-29
173,6.2059505405363E-29
174,4.13730036035753E-29
175,2.75820024023835E-29
176,1.8388001601589E-29
177,1.22586677343927E-29
178,8.17244515626179E-30
179,5.44829677084119E-30
180,3.63219784722746E-30
181,2.42146523148497E-30
182,1.61431015432332E-30
183,1.07620676954888E-30
184,7.17471179699251E-31
185,4.78314119799501E-31
186,3.18876079866334E-31
187,2.12584053244223E-31
188,1.41722702162815E-31
189,9.44818014418767E-32
190,6.29878676279178E-32
191,4.19919117519452E-32
192,2.79946078346301E-32
193,1.86630718897534E-32
194,1.24420479265023E-32
195,8.29469861766818E-33
196,5.52979907844546E-33
197,3.68653271896364E-33
198,2.45768847930909E-33
199,1.63845898620606E-33
200,1.09230599080404E-33
201,7.2820399386936E-34
202,4.8546932924624E-34
203,3.23646219497493E-34
204,2.15764146331662E-34
205,1.43842764221108E-34
206,9.58951761474054E-35
207,6.39301174316036E-35
208,4.26200782877357E-35
209,2.84133855251572E-35
210,1.89422570167714E-35
211,1.26281713445143E-35
212,8.41878089634286E-36
213,5.61252059756191E-36
214,3.7416803983746E-36
215,2.4944535989164E-36
216,1.66296906594427E-36
217,1.10864604396285E-36
218,7.39097362641897E-37
219,4.92731575094598E-37
220,3.28487716729732E-37
221,2.18991811153155E-37
222,1.4599454076877E-37
223,9.73296938458465E-38
224,6.48864625638976E-38
225,4.32576417092651E-38
226,2.88384278061767E-38
227,1.92256185374511E-38
228,1.28170790249674E-38
229,8.54471934997829E-39
230,5.69647956665219E-39
231,3.79765304443479E-39
232,2.53176869628986E-39
233,1.68784579752658E-39
234,1.12523053168438E-39
235,7.50153687789589E-40
236,5.00102458526393E-40
237,3.33401639017595E-40
238,2.22267759345063E-40
239,1.48178506230042E-40
240,9.87856708200281E-41
241,6.58571138800188E-41
242,4.39047425866792E-41
243,2.92698283911194E-41
244,1.9513218927413E-41
245,1.30088126182753E-41
246,8.67254174551687E-42
247,5.78169449701125E-42
248,3.8544629980075E-42
249,2.56964199867166E-42
250,1.71309466578111E-42
251,1.14206311052074E-42
252,7.61375407013826E-43
