_Date,Currently_Hospitalised_Excluding_Post-Recovery,Cumulative_Hospitalized_Excluding_Post-Recovery,Currently_in_ICU_Excluding_Post-Recovery,Cumulative_in_ICU_Excluding_Post-Recovery,OBJECTID
2020/05/16 00:00:00,44,220,5,56,96
2020/05/17 00:00:00,42,220,5,56,97
2020/05/18 00:00:00,43,222,3,56,98
2020/05/19 00:00:00,40,222,2,56,99
2020/05/20 00:00:00,42,225,2,56,100
2020/05/21 00:00:00,39,225,2,56,101
2020/05/22 00:00:00,39,226,2,56,102
2020/05/23 00:00:00,36,227,1,56,103
2020/05/24 00:00:00,36,228,2,57,104
2020/05/25 00:00:00,35,228,2,57,105
2020/05/26 00:00:00,36,229,2,57,106
2020/05/27 00:00:00,33,229,2,57,107
2020/05/28 00:00:00,32,230,1,57,108
2020/05/29 00:00:00,32,232,1,57,109
2020/05/30 00:00:00,31,232,1,57,110
2020/05/31 00:00:00,34,235,1,57,111
2020/06/01 00:00:00,33,235,1,57,112
2020/06/02 00:00:00,30,235,1,57,113
2020/06/03 00:00:00,23,235,1,57,114
2020/06/04 00:00:00,20,235,,57,115
2020/06/05 00:00:00,21,236,,57,116
2020/06/06 00:00:00,21,236,,57,117
2020/06/07 00:00:00,20,236,,57,118
2020/06/08 00:00:00,18,236,,57,119
2020/06/09 00:00:00,17,236,,57,120
2020/06/10 00:00:00,17,236,,57,121
2020/06/11 00:00:00,14,236,,57,122
2020/06/12 00:00:00,14,236,,57,123
2020/06/13 00:00:00,14,236,,57,124
2020/06/14 00:00:00,14,236,,57,125
2020/06/15 00:00:00,14,236,,57,126
2020/06/16 00:00:00,12,237,,57,127
2020/06/17 00:00:00,4,238,1,58,128
2020/06/18 00:00:00,4,238,1,58,129
2020/06/19 00:00:00,4,238,1,58,130
