_Date,Cumulative_Cases_by_Episode_Date,Cumulative_Resolved_Cases_by_Episode_Date,Cumulative_Active_Cases_by_Episode_Date,Cumulative_Deaths_by_Date_of_Death,Daily_Cases_by_Reported_Date,7-day_Average_of_Newly_Reported_cases_by_Reported_Date,Daily_Cases_by_Episode_Date,Daily_Cases_Linked_to_a_Community_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_a_School_or_Childcare_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_an_Institutional_Outbreak_by_Episode_Date,Daily_Cases_Not_Linked_to_an_Outbreak_ie_Sporadic_Cases_by_Episode_Date,Cases_Newly_Admitted_to_Hospital,Cases_Currently_in_Hospital,Cases_Currently_in_ICU,"Cumulative_Rate_for_0-9_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_10-19_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_20-29_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_30-39_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_40-49_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_50-59_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_60-69_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_70-79_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_80-89_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_90_Years_and_Over_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Males_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Females_per_100,000_pop_by_Episode_Date",Source_of_Infection_is_Close_Contact_by_Episode_Date,Source_of_Infection_is_Missing_by_Episode_Date,Source_of_Infection_is_an_Outbreak_by_Episode_Date,Source_of_Infection_is_Travel_by_Episode_Date,Source_of_Infection_is_Unknown_by_Episode_Date,Sum_of_Non-Institutional_Source_of_Infection_Over_the_Last_14_Days,%_No_Known_Source_for_Cases_with_Non-Institutional_Source_of_Infection_Over_the_Last_14_Days,OBJECTID
2020/02/10 00:00:00,1,,1,,,0,1,0,0,0,1,,1,,,,,,,,0.8,,,,,0.2,0,0,0,1,0,1,0,0
2020/02/11 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,1
2020/02/12 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,2
2020/02/13 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,3
2020/02/14 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,4
2020/02/15 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,5
2020/02/16 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,6
2020/02/17 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,7
2020/02/18 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,8
2020/02/19 00:00:00,1,,1,,,0,0,0,0,0,0,,1,,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,9
2020/02/20 00:00:00,2,,2,,,0,1,0,0,0,1,,1,,,,,,,0.7,0.8,,,,0.2,0.2,0,0,0,1,0,2,0,10
2020/02/21 00:00:00,2,,2,,,0,0,0,0,0,0,,1,,,,,,,0.7,0.8,,,,0.2,0.2,0,0,0,0,0,2,0,11
2020/02/22 00:00:00,3,,3,,,0,1,0,0,0,1,,1,,,,,,,1.4,0.8,,,,0.4,0.2,0,0,0,0,1,3,33.3,12
2020/02/23 00:00:00,4,,4,,,0,1,0,0,0,1,,1,,,,,,,1.4,1.7,,,,0.4,0.4,0,0,0,1,0,4,25,13
2020/02/24 00:00:00,5,,5,,,0,1,0,0,0,1,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,1,0,4,25,14
2020/02/25 00:00:00,5,,5,,,0,0,0,0,0,0,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,15
2020/02/26 00:00:00,5,,5,,,0,0,0,0,0,0,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,16
2020/02/27 00:00:00,5,,5,,,0,0,0,0,0,0,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,17
2020/02/28 00:00:00,5,,5,,,0,0,0,0,0,0,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,18
2020/02/29 00:00:00,5,,5,,,0,0,0,0,0,0,,1,,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,19
2020/03/01 00:00:00,7,,7,,,0,2,0,0,0,2,,1,,,,,1.3,,1.4,2.5,,,,0.4,0.9,0,0,0,1,1,6,33.3,20
2020/03/02 00:00:00,10,,10,,,0,3,2,0,0,1,,1,,,,,1.9,1.5,1.4,2.5,,,,0.8,1.1,0,0,0,2,1,9,33.3,21
2020/03/03 00:00:00,11,,11,,,0,1,0,0,0,1,,1,,,,0.6,1.9,1.5,1.4,2.5,,,,1,1.1,0,0,0,1,0,10,30,22
2020/03/04 00:00:00,12,,12,,,0,1,0,0,0,1,,1,,,,0.6,1.9,2.2,1.4,2.5,,,,1,1.3,1,0,0,0,0,11,27.3,23
2020/03/05 00:00:00,18,1,17,,,0,6,2,0,0,4,,1,,,,0.6,3.2,3.7,2.1,3.4,,,,1.5,1.9,2,0,2,1,1,16,25,24
2020/03/06 00:00:00,23,1,22,,,0,5,0,0,1,4,,1,,,,1.2,3.8,3.7,2.9,4.2,1.3,,,1.9,2.4,1,0,0,2,2,21,28.6,25
2020/03/07 00:00:00,27,1,26,,,0,4,0,0,0,4,,1,,,,1.2,3.8,5.2,3.6,5,1.3,,,2.3,2.8,0,0,0,4,0,24,20.8,26
2020/03/08 00:00:00,36,1,35,,,0,9,1,0,0,8,,1,,,,1.2,3.8,8.2,5,7.6,1.3,,,3.3,3.5,2,0,1,5,1,32,18.8,27
2020/03/09 00:00:00,45,1,44,,1,0.1,9,0,0,0,9,,1,,,0.9,2.5,4.4,8.9,5.7,9.3,2.6,,,3.5,5,3,0,0,5,1,40,17.5,28
2020/03/10 00:00:00,52,1,51,,,0.1,7,1,0,0,6,,1,,,0.9,2.5,4.4,9.6,7.9,10.9,2.6,3,,4.6,5.2,3,0,1,3,0,47,14.9,29
2020/03/11 00:00:00,61,1,60,,,0.1,9,0,0,0,9,,1,,,0.9,3.7,6.3,10.4,7.9,11.8,4,6,,5.6,6,1,0,0,7,1,56,14.3,30
2020/03/12 00:00:00,75,1,74,,3,0.6,14,1,0,0,13,,1,,,0.9,3.7,8.2,14.8,9.3,11.8,6.6,8.9,,7,7.3,1,0,1,9,3,70,15.7,31
2020/03/13 00:00:00,97,1,96,,1,0.7,22,2,0,2,18,,1,,,0.9,5.6,9.5,22.3,10.7,14.3,7.9,11.9,,10.2,8.2,3,1,2,11,5,92,17.4,32
2020/03/14 00:00:00,115,1,114,,4,1.3,18,1,0,1,16,1,2,,,0.9,8,11.4,26,12.2,16,9.2,14.9,,12.2,9.7,3,0,2,6,7,110,20.9,33
2020/03/15 00:00:00,142,2,140,,4,1.9,27,1,0,0,26,,2,,,0.9,9.9,15.8,31.2,15,19.3,10.6,14.9,11.3,14.7,12.3,6,0,1,10,10,135,23.7,34
2020/03/16 00:00:00,157,2,155,,,1.7,15,0,0,0,15,,2,,,1.8,9.9,19,33.4,18.6,20.2,10.6,14.9,11.3,15.6,14.2,5,0,0,10,0,147,21.1,35
2020/03/17 00:00:00,180,3,177,,5,2.4,23,1,0,0,22,2,4,,,2.6,12.4,20.2,37.8,22.9,22.7,11.9,14.9,11.3,17.8,16.4,5,0,1,8,9,169,23.7,36
2020/03/18 00:00:00,196,4,192,,4,3,16,0,0,0,16,,3,,,2.6,14.2,22.7,39.3,25.8,24.4,13.2,14.9,11.3,18.9,18.2,3,0,0,8,5,184,24.5,37
2020/03/19 00:00:00,221,4,217,,1,2.7,25,0,0,0,25,4,7,,,2.6,17.3,24,40.8,31.5,27.8,17.2,17.9,11.3,22,19.9,5,0,0,10,10,203,26.6,38
2020/03/20 00:00:00,243,4,239,,2,2.9,22,1,0,1,20,3,10,1,,2.6,19.2,27.2,43.8,32.9,30.3,21.1,23.9,11.3,24.3,21.8,7,0,2,6,7,220,26.8,39
2020/03/21 00:00:00,263,4,259,,4,2.9,20,0,0,2,18,3,10,1,,2.6,19.2,30.3,44.5,35.8,31.1,27.7,35.8,11.3,25.7,24.2,5,0,2,10,3,236,26.3,40
2020/03/22 00:00:00,289,4,285,,7,3.3,26,0,0,1,25,3,13,5,0.9,2.6,19.2,32.9,46.7,40.1,34.5,35.6,41.7,11.3,28.4,26.4,11,0,1,7,7,253,26.9,41
2020/03/23 00:00:00,310,4,306,,9,4.6,21,2,0,0,19,4,17,5,0.9,2.6,19.2,34.1,50.4,43.6,41.2,35.6,41.7,22.6,30.3,28.5,4,1,2,11,3,265,26.4,42
2020/03/24 00:00:00,327,5,321,1,8,5,17,1,0,3,13,2,19,7,0.9,2.6,22.9,36,51.9,44.4,42,39.6,44.7,22.6,31.5,30.5,6,0,4,2,5,275,27.3,43
2020/03/25 00:00:00,351,5,345,1,8,5.6,24,0,0,1,23,4,22,8,0.9,3.5,26,38.5,53.4,47.2,44.6,42.2,50.7,33.9,33.8,32.8,10,2,1,3,8,290,28.3,44
2020/03/26 00:00:00,365,9,355,1,19,8.1,14,1,0,3,10,2,24,7,0.9,3.5,26,40.4,54.9,51.5,44.6,43.5,53.7,45.2,35.2,34.1,6,0,4,1,3,290,28.3,45
2020/03/27 00:00:00,382,18,363,1,27,11.7,17,3,0,2,12,5,26,9,0.9,4.4,29.1,41.1,57.9,54.4,45.4,44.9,53.7,45.2,36.7,35.8,4,0,4,1,8,285,29.8,46
2020/03/28 00:00:00,406,20,384,2,26,14.9,24,1,0,1,22,3,25,8,0.9,6.2,31.6,43.6,60.8,56.5,48.8,47.5,56.6,45.2,39.2,37.8,8,1,2,9,4,291,28.2,47
2020/03/29 00:00:00,425,27,396,2,11,15.4,19,5,0,4,10,7,31,8,0.9,6.2,34.1,46.8,61.6,57.9,51.3,50.1,62.6,45.2,40,40.6,2,0,8,1,8,283,28.3,48
2020/03/30 00:00:00,450,41,406,3,48,21,25,8,0,2,15,4,32,12,1.8,7.1,35.9,49.9,63,60.8,55.5,52.8,65.6,56.5,43.3,42.1,9,0,10,3,3,293,28.3,49
2020/03/31 00:00:00,467,62,402,3,51,27.1,17,2,0,3,12,6,34,13,2.7,7.1,38.4,50.6,63.8,63.7,57.2,54.1,71.6,67.8,45.2,43.4,7,0,5,1,4,287,27.2,50
2020/04/01 00:00:00,494,87,404,3,36,31.1,27,7,0,4,16,3,33,15,2.7,7.9,41.5,54.3,65.3,68.7,58.9,59.4,71.6,67.8,47.5,46.2,7,0,11,2,7,298,26.8,51
